frame.number,frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.flags,tcp.window_size,tcp.options
1,1762594389.461879000,192.168.181.128,23.215.0.136,49832,80,0,0,0,0x0002,64240,020405b40402080a4063833f0000000001030307
2,1762594389.716689000,23.215.0.136,192.168.181.128,80,49832,0,1,0,0x0012,64240,020405b4
3,1762594389.716796000,192.168.181.128,23.215.0.136,49832,80,1,1,0,0x0010,64240,
4,1762594389.717066000,192.168.181.128,23.215.0.136,49832,80,1,1,76,0x0018,64240,
5,1762594389.717232000,23.215.0.136,192.168.181.128,80,49832,1,77,0,0x0010,64240,
6,1762594389.976698000,23.215.0.136,192.168.181.128,80,49832,1,77,236,0x0018,64240,
7,1762594389.976738000,192.168.181.128,23.215.0.136,49832,80,77,237,0,0x0010,64004,
8,1762594389.976861000,192.168.181.128,23.215.0.136,49832,80,77,237,0,0x0011,64004,
9,1762594389.977102000,23.215.0.136,192.168.181.128,80,49832,237,78,0,0x0010,64239,
10,1762594389.978172000,23.215.0.136,192.168.181.128,80,49832,237,78,0,0x0019,64239,
11,1762594389.978187000,192.168.181.128,23.215.0.136,49832,80,78,238,0,0x0010,64004,
